Country,Official language,Regional language,Minority language,National language,Widely spoken
South Africa,"['Afrikaans', 'English', 'Southern Ndebele', 'Sotho', 'Northern Sotho', 'Swazi', 'Tsonga', 'Tswana', 'Venda', 'Xhosa', 'Zulu']",None,None,None,None
South Ossetia,"['Ossetian', 'Russian']",['Georgian'],['Georgian'],None,None
South Sudan,['English'],None,None,"['Arabic', 'Bari', 'Dinka', 'Luo', 'Murle', 'Nuer', 'Zande', '(60 other languages)']",None
Spain,['Spanish'],"['Catalan (Balearic Islands, Catalonia, Valencia)', 'Galician (Galicia)', 'Occitan (Catalonia)', 'Basque (Basque Country, Navarra)']","['Astur-Leonese (Asturias)', 'Aragonese (Aragon)', 'Fala (Province of Cáceres)', 'French', 'Portuguese']",None,None
Sri Lanka,"['Sinhala', 'Tamil']",None,None,None,None
Sudan,"['Arabic', 'English']",None,None,None,None
Suriname,['Dutch'],None,None,['Sranan Tongo'],None
Sweden,['Swedish'],None,"['Finnish (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå', 'Meänkieli (Gällivare, Haparanda, Kiruna, Pajala, Övertorneå)', 'Sami (Arjeplog, Gällivare, Jokkmokk, Kiruna)']",None,"['Romani', 'Yiddish']"
Switzerland,"['French (Bern, Fribourg, Geneva, Jura, Neuchâtel, Valais, Vaud)', 'German (Aargau, Appenzell Ausserrhoden, Appenzell Innerrhoden, Basel-Landschaft, Basel-Stadt, Bern, Fribourg, Glarus, Graubünden, Lucerne, Nidwalden, Obwalden, Saint Gallen, Schaffhausen, Schwyz, Solothurn, Thurgau, Uri, Valais, Zug, Zürich)', 'Italian (Ticino, Graubünden)', 'Romansh (Graubünden)']",None,None,None,None
Syria,['Arabic'],['Kurdish'],None,None,None
Syria,['Arabic'],['Kurdish'],None,None,None
Taiwan,['Mandarin (de facto)'],None,None,"['Formosan languages', 'Hakka', 'Mandarin', 'Taiwan Sign Language', 'Taiwanese Hokkien']",['Mandarin']
Tajikistan,['Tajik'],None,None,['Tajik'],['Russian']
Tanzania,['English'],None,None,['Swahili'],None
Thailand,['Thai'],None,None,None,None
Togo,['French'],None,None,None,None
Tonga,['English'],None,None,['Tongan'],None
Transnistria,"['Moldovan', 'Russian', 'Ukrainian']",None,None,None,None
Trinidad and Tobago,['English'],None,None,None,None
Tunisia,['Arabic'],None,None,['Arabic'],None
Turkey,['Turkish'],None,['Kurdish'],None,None
Turkmenistan,['Turkmen'],None,None,['Turkmen'],['Russian']
Tuvalu,['English (de facto)'],None,None,['Tuvaluan (de facto)'],None
Tuvalu,['English (de facto)'],None,None,['Tuvaluan (de facto)'],None
Uganda,"['English', 'Swahili']",None,None,None,None
Ukraine,['Ukrainian'],None,None,None,None
United Arab Emirates,['Arabic'],None,None,None,None
United Kingdom and Crown dependencies etc,['English (de facto)'],"['Cornish (in Cornwall)', 'Irish and Ulster-Scots (in Northern Ireland)', 'Scots and Scottish Gaelic (in Scotland)', 'Welsh (in Wales)', 'Pitcairnese (in Pitcairn Islands)', 'Guernésiais and French (in Guernsey)', 'Jèrriais and French (in Jersey)', 'Manx (in Isle of Man)']",None,None,None
United States,['English (de facto)'],['(28 languages)'],None,None,None
Uruguay,['Spanish (de facto)'],None,None,None,None
Uzbekistan,['Uzbek'],None,"['Uzbek', 'Karakalpak and Uzbek in Karakalpakstan']",None,None
Uzbekistan,['Uzbek'],None,"['Uzbek', 'Karakalpak and Uzbek in Karakalpakstan']",None,None
Vanuatu,"['English', 'French']",None,None,['Bislama'],None
Vatican City,['Italian'],None,None,None,None
Venezuela,"['Spanish', 'Venezuelan Sign Language']",None,None,None,None
Vietnam,None,None,None,['Vietnamese'],None
Vietnam,None,None,None,['Vietnamese'],None
Yemen,['Arabic'],None,None,None,None
Yemen,['Arabic'],None,None,None,None
Zambia,['English'],None,None,None,None
Zimbabwe,"['Chewa', 'Chibarwe', 'English', 'Kalanga', 'Khoisan', 'Nambya', 'Ndau', 'Ndebele', 'Shangani', 'Shona', 'Sign language', 'Sotho', 'Tonga', 'Tswana', 'Venda', 'Xhosa']",None,None,None,None
